ID_Reservasi,Rute,Tanggal,Tipe_Reservasi,Nama,No_HP,Jumlah_Penumpang,Waktu_Penjemputan,Alamat_Jemput,Kendaraan,Harga,Airlines_Code,Airlines_Company,Departure_Airport,Arrival_Airport,Durasi,Alamat_Antar
KR-0001,JUANDA-MALANG,24-11-2024,reguler,Maryanto Wibowo,08172883986,7,16:27,"Jl. Jalan Jakarta No. 76, JUANDA",V-51,1360000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0002,MALANG-JUANDA,10-10-2024,reguler,Dadap Manullang,08916637688,1,10:25,"Jl. Gg. Pasir Koja No. 49, MALANG",V-51,180000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0003,SURABAYA-MALANG,25-08-2024,charter_harian,Vega Mustofa,08666315787,7,22:26,"Jl. Jl. Kapten Muslihat No. 209, SURABAYA",H-2,1150000,,,,,10.0,"Jl. Gang Peta No. 94, MALANG"
KR-0004,MALANG-SURABAYA,18-06-2024,charter_harian,R. Lidya Palastri,08054284143,9,09:31,"Jl. Jl. KH Amin Jasuta No. 152, MALANG",H-2,1800000,,,,,10.0,"Jl. Gg. Dipatiukur No. 107, SURABAYA"
KR-0005,MALANG-JUANDA,27-01-2024,reguler,"Lintang Tampubolon, M.Farm",08305337237,7,12:32,"Jl. Gg. Jakarta No. 147, MALANG",H-2,1360000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0006,SURABAYA-MALANG,05-01-2024,charter_harian,Hana Melani,08297003152,3,08:06,"Jl. Gg. KH Amin Jasuta No. 177, SURABAYA",H-2,1000000,,,,,2.0,"Jl. Gg. R.E Martadinata No. 27, MALANG"
KR-0007,JUANDA-MALANG,23-04-2025,reguler,drg. Fitriani Marbun,08310296181,8,02:20,"Jl. Jalan Dipatiukur No. 182, JUANDA",H-2,1565000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0008,SURABAYA-MALANG,15-09-2025,charter_harian,Kamila Wahyuni,08585110328,6,20:19,"Jl. Gg. Jamika No. 107, SURABAYA",X-2,1300000,,,,,8.0,"Jl. Gang Cihampelas No. 290, MALANG"
KR-0009,MALANG-JUANDA,08-07-2025,charter_drop,"Garang Nasyiah, S.Gz",08193845342,5,21:01,"Jl. Gg. Joyoboyo No. 245, MALANG",V-50,570000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0010,JUANDA-MALANG,12-07-2025,charter_drop,"Ir. Gasti Suryatmi, M.M.",08398126704,3,16:20,"Jl. Jl. Cikapayang No. 73, JUANDA",H-2,420000,QZ,AirAsia Indonesia,Juanda International Airport,Malang International Airport,,
KR-0011,MALANG-JUANDA,03-11-2025,reguler,"Upik Oktaviani, S.Ked",08122003431,10,12:38,"Jl. Gang Laswi No. 252, MALANG",H-2,1975000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0012,MALANG-SURABAYA,21-06-2025,charter_harian,Pia Winarsih,08606383184,10,07:23,"Jl. Jl. Joyoboyo No. 61, MALANG",H-2,1800000,,,,,8.0,"Jl. Jl. Jend. Sudirman No. 131, SURABAYA"
KR-0013,MALANG-JUANDA,02-10-2024,reguler,"Ir. Kamal Halimah, S.Kom",08870483890,3,22:36,"Jl. Gang Ciumbuleuit No. 96, MALANG",S-2,690000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0014,MALANG-SURABAYA,19-12-2024,charter_harian,Darmanto Putra,08475494380,8,13:25,"Jl. Jalan Moch. Toha No. 39, MALANG",V-52,1800000,,,,,9.0,"Jl. Gang Ahmad Dahlan No. 115, SURABAYA"
KR-0015,MALANG-SURABAYA,02-11-2024,charter_harian,Makara Halimah,08277109219,7,06:07,"Jl. Jalan Pasirkoja No. 154, MALANG",H-2,650000,,,,,7.0,"Jl. Jl. Merdeka No. 242, SURABAYA"
KR-0016,MALANG-SURABAYA,12-03-2024,charter_harian,Usman Wibisono,08862875181,1,18:58,"Jl. Gang Soekarno Hatta No. 153, MALANG",V-50,1550000,,,,,4.0,"Jl. Gang Pacuan Kuda No. 279, SURABAYA"
KR-0017,MALANG-JUANDA,21-08-2025,reguler,KH. Lasmono Situmorang,08292356869,7,10:16,"Jl. Gg. Rumah Sakit No. 150, MALANG",H-2,1360000,OD,Batik Air Malaysia/Malindo,Malang International Airport,Juanda International Airport,,
KR-0018,JUANDA-MALANG,21-08-2025,charter_drop,Vivi Irawan,08402928636,2,14:43,"Jl. Jalan Sukabumi No. 127, JUANDA",H-2,395000,QZ,AirAsia Indonesia,Juanda International Airport,Malang International Airport,,
KR-0019,SURABAYA-MALANG,12-01-2025,charter_harian,Bahuraksa Maryati,08267360478,9,12:29,"Jl. Jalan Stasiun Wonokromo No. 27, SURABAYA",Z-1,1800000,,,,,7.0,"Jl. Jl. Medokan Ayu No. 237, MALANG"
KR-0020,SURABAYA-MALANG,27-04-2024,charter_harian,Mariadi Wibowo,08895831314,4,21:08,"Jl. Gg. Siliwangi No. 58, SURABAYA",Z-1,1300000,,,,,10.0,"Jl. Gg. Ciumbuleuit No. 57, MALANG"
KR-0021,MALANG-SURABAYA,02-04-2025,charter_harian,Diana Salahudin,08028052865,5,10:33,"Jl. Jalan Veteran No. 112, MALANG",Z-1,1500000,,,,,9.0,"Jl. Jl. Ciumbuleuit No. 162, SURABAYA"
KR-0022,MALANG-JUANDA,19-11-2024,charter_drop,"T. Kuncara Prayoga, S.IP",08970776807,5,21:24,"Jl. Gang Asia Afrika No. 157, MALANG",H-2,570000,OD,Batik Air Malaysia/Malindo,Malang International Airport,Juanda International Airport,,
KR-0023,MALANG-SURABAYA,16-02-2025,charter_harian,"Farhunnisa Mangunsong, M.Ak",08031688447,8,20:09,"Jl. Gg. Soekarno Hatta No. 222, MALANG",Z-1,1900000,,,,,7.0,"Jl. Jalan Ahmad Yani No. 259, SURABAYA"
KR-0024,MALANG-SURABAYA,28-09-2025,charter_harian,Baktianto Puspita,08830677761,1,07:30,"Jl. Jalan Cikutra Timur No. 295, MALANG",V-50,1200000,,,,,2.0,"Jl. Gang Cikutra Timur No. 265, SURABAYA"
KR-0025,MALANG-SURABAYA,18-04-2025,charter_harian,Suci Habibi,08170292610,9,05:33,"Jl. Gang Kutai No. 257, MALANG",V-52,1000000,,,,,7.0,"Jl. Gg. Yos Sudarso No. 216, SURABAYA"
KR-0026,MALANG-JUANDA,12-06-2025,charter_drop,"Dt. Aswani Handayani, S.IP",08361114776,9,10:53,"Jl. Jalan KH Amin Jasuta No. 62, MALANG",H-2,570000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0027,SURABAYA-MALANG,24-04-2025,charter_harian,Koko Hutasoit,08226585583,7,14:58,"Jl. Gg. Jend. Sudirman No. 283, SURABAYA",V-51,1200000,,,,,2.0,"Jl. Gg. Rajiman No. 97, MALANG"
KR-0028,JUANDA-MALANG,26-08-2025,reguler,"Asirwada Narpati, S.Gz",08481297610,9,22:55,"Jl. Jalan Sukajadi No. 52, JUANDA",H-2,1920000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0029,JUANDA-MALANG,05-01-2024,reguler,"Chelsea Yolanda, S.Gz",08273035592,3,10:37,"Jl. Jalan KH Amin Jasuta No. 250, JUANDA",Z-1,540000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0030,JUANDA-MALANG,11-04-2024,charter_drop,Violet Palastri,08572716088,7,22:34,"Jl. Gang H.J Maemunah No. 10, JUANDA",R-1,670000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
